id,latitude,longitude,plant_id,created_at,updated_at
134,48.1602871,2.2260973,2,2019-03-05 09:30:00 UTC,2019-03-05 09:30:00 UTC
133,48.1602523,2.2261342,3,2019-03-05 09:29:09 UTC,2019-03-05 09:29:09 UTC
108,48.1602959,2.2261331,4,2019-03-05 09:08:38 UTC,2019-03-05 09:08:38 UTC
131,48.1602933,2.2261234,9,2019-03-05 09:25:49 UTC,2019-03-05 09:25:49 UTC
178,48.160287,2.2260871,16,2019-03-05 11:19:04 UTC,2019-03-05 11:19:04 UTC
174,48.1602354,2.2260735,22,2019-03-05 11:16:39 UTC,2019-03-05 11:16:39 UTC
139,48.160287,2.2260871,35,2019-03-05 09:45:39 UTC,2019-03-05 09:45:39 UTC
211,48.160287,2.2260871,44,2019-03-06 09:03:43 UTC,2019-03-06 09:03:43 UTC
210,48.1602995,2.2261095,45,2019-03-06 09:03:17 UTC,2019-03-06 09:03:17 UTC
206,48.1602882,2.2260858,51,2019-03-06 09:00:34 UTC,2019-03-06 09:00:34 UTC
204,48.160287,2.2260871,59,2019-03-06 08:59:29 UTC,2019-03-06 08:59:29 UTC
205,48.160287,2.2260871,60,2019-03-06 09:00:04 UTC,2019-03-06 09:00:04 UTC
207,48.160287,2.2260871,61,2019-03-06 09:00:59 UTC,2019-03-06 09:00:59 UTC
208,48.1602884,2.2260777,62,2019-03-06 09:01:44 UTC,2019-03-06 09:01:44 UTC
209,48.160287,2.2260871,63,2019-03-06 09:02:20 UTC,2019-03-06 09:02:20 UTC
199,48.160287,2.2260871,79,2019-03-05 14:42:43 UTC,2019-03-05 14:42:43 UTC
130,48.1602988,2.2261125,81,2019-03-05 09:24:00 UTC,2019-03-05 09:24:00 UTC
128,48.1602898,2.2260976,82,2019-03-05 09:22:59 UTC,2019-03-05 09:22:59 UTC
129,48.1602889,2.2260781,82,2019-03-05 09:23:22 UTC,2019-03-05 09:23:22 UTC
82,48.160287,2.2260871,83,2019-03-01 11:50:01 UTC,2019-03-01 11:50:01 UTC
127,48.1603354,2.2261528,83,2019-03-05 09:21:58 UTC,2019-03-05 09:21:58 UTC
83,48.160287,2.2260871,84,2019-03-01 11:50:25 UTC,2019-03-01 11:50:25 UTC
126,48.1603108,2.226112,84,2019-03-05 09:21:28 UTC,2019-03-05 09:21:28 UTC
132,48.1602888,2.2260778,85,2019-03-05 09:26:44 UTC,2019-03-05 09:26:44 UTC
125,48.1603103,2.2261474,88,2019-03-05 09:20:42 UTC,2019-03-05 09:20:42 UTC
124,48.160307,2.2261429,89,2019-03-05 09:20:04 UTC,2019-03-05 09:20:04 UTC
123,48.160287,2.2260871,90,2019-03-05 09:19:20 UTC,2019-03-05 09:19:20 UTC
122,48.1602841,2.2260986,91,2019-03-05 09:18:34 UTC,2019-03-05 09:18:34 UTC
216,48.1602567,2.2260715,91,2019-03-06 09:06:00 UTC,2019-03-06 09:06:00 UTC
121,48.160287,2.2260871,93,2019-03-05 09:18:02 UTC,2019-03-05 09:18:02 UTC
120,48.160287,2.2260871,94,2019-03-05 09:17:07 UTC,2019-03-05 09:17:07 UTC
119,48.1602999,2.2261834,95,2019-03-05 09:16:31 UTC,2019-03-05 09:16:31 UTC
118,48.160287,2.2260871,96,2019-03-05 09:16:04 UTC,2019-03-05 09:16:04 UTC
117,48.160287,2.2260871,107,2019-03-05 09:15:27 UTC,2019-03-05 09:15:27 UTC
116,48.160287,2.2260871,108,2019-03-05 09:14:48 UTC,2019-03-05 09:14:48 UTC
84,48.1602707,2.2260761,108,2019-03-01 11:50:56 UTC,2019-03-01 11:50:56 UTC
180,48.160287,2.2260871,108,2019-03-05 11:20:03 UTC,2019-03-05 11:20:03 UTC
115,48.160287,2.2260871,109,2019-03-05 09:14:15 UTC,2019-03-05 09:14:15 UTC
228,48.160287,2.2260871,109,2019-03-06 09:16:28 UTC,2019-03-06 09:16:28 UTC
114,48.1603339,2.226171,111,2019-03-05 09:13:34 UTC,2019-03-05 09:13:34 UTC
170,48.160287,2.2260871,116,2019-03-05 11:13:35 UTC,2019-03-05 11:13:35 UTC
215,48.1603105,2.2261934,123,2019-03-06 09:05:34 UTC,2019-03-06 09:05:34 UTC
214,48.1603498,2.2262186,125,2019-03-06 09:05:07 UTC,2019-03-06 09:05:07 UTC
213,48.1602922,2.2261233,126,2019-03-06 09:04:40 UTC,2019-03-06 09:04:40 UTC
212,48.160287,2.2260871,128,2019-03-06 09:04:15 UTC,2019-03-06 09:04:15 UTC
151,48.1602715,2.2260883,130,2019-03-05 09:58:10 UTC,2019-03-05 09:58:10 UTC
153,48.160287,2.2260871,134,2019-03-05 10:59:59 UTC,2019-03-05 10:59:59 UTC
154,48.160287,2.2260871,137,2019-03-05 11:02:09 UTC,2019-03-05 11:02:09 UTC
155,48.1603215,2.2261821,138,2019-03-05 11:02:43 UTC,2019-03-05 11:02:43 UTC
156,48.160287,2.2260871,144,2019-03-05 11:03:30 UTC,2019-03-05 11:03:30 UTC
158,48.160287,2.2260871,145,2019-03-05 11:04:28 UTC,2019-03-05 11:04:28 UTC
97,48.1603402,2.2260966,147,2019-03-05 08:53:42 UTC,2019-03-05 08:53:42 UTC
86,48.1602959,2.22609,147,2019-03-01 13:22:57 UTC,2019-03-01 13:22:57 UTC
98,48.1603952,2.2262572,149,2019-03-05 08:54:43 UTC,2019-03-05 08:54:43 UTC
88,48.1602694,2.2260938,151,2019-03-01 13:23:35 UTC,2019-03-01 13:23:35 UTC
99,48.1603313,2.2261713,151,2019-03-05 08:56:21 UTC,2019-03-05 08:56:21 UTC
89,48.1602876,2.2260386,153,2019-03-01 13:23:52 UTC,2019-03-01 13:23:52 UTC
100,48.1603109,2.2261092,153,2019-03-05 08:57:26 UTC,2019-03-05 08:57:26 UTC
101,48.1602943,2.2261015,154,2019-03-05 08:58:40 UTC,2019-03-05 08:58:40 UTC
90,48.1602962,2.2261436,154,2019-03-01 13:24:17 UTC,2019-03-01 13:24:17 UTC
91,48.160287,2.2260871,157,2019-03-01 13:24:36 UTC,2019-03-01 13:24:36 UTC
102,48.1602999,2.2261093,157,2019-03-05 08:59:36 UTC,2019-03-05 08:59:36 UTC
92,48.160287,2.2260871,158,2019-03-01 13:24:53 UTC,2019-03-01 13:24:53 UTC
103,48.1602954,2.2261195,158,2019-03-05 09:04:48 UTC,2019-03-05 09:04:48 UTC
181,48.1603321,2.2261351,160,2019-03-05 14:23:47 UTC,2019-03-05 14:23:47 UTC
182,48.1602881,2.2260777,162,2019-03-05 14:25:23 UTC,2019-03-05 14:25:23 UTC
183,48.1602887,2.2260777,164,2019-03-05 14:25:44 UTC,2019-03-05 14:25:44 UTC
185,48.1603573,2.2261795,170,2019-03-05 14:29:56 UTC,2019-03-05 14:29:56 UTC
164,48.160287,2.2260871,204,2019-03-05 11:10:04 UTC,2019-03-05 11:10:04 UTC
235,48.160287,2.2260871,210,2019-03-06 09:21:30 UTC,2019-03-06 09:21:30 UTC
203,48.1603115,2.2262205,210,2019-03-05 14:45:30 UTC,2019-03-05 14:45:30 UTC
184,48.1603131,2.2261168,211,2019-03-05 14:26:59 UTC,2019-03-05 14:26:59 UTC
186,48.1603482,2.226185,213,2019-03-05 14:31:29 UTC,2019-03-05 14:31:29 UTC
187,48.1602701,2.226105,214,2019-03-05 14:32:35 UTC,2019-03-05 14:32:35 UTC
188,48.160273,2.2261296,215,2019-03-05 14:33:11 UTC,2019-03-05 14:33:11 UTC
189,48.1602824,2.2261254,216,2019-03-05 14:34:04 UTC,2019-03-05 14:34:04 UTC
